name,region,year,life_exp,income,gini,childMortality,totalFertility
Afghanistan,asia,2020,64.41,1850,36.8,58.08,4.04
Angola,africa,2020,65.36,5440,42.6,72.29,5.41
Albania,europe,2020,78.58,13800,29,8.52,1.7
United Arab Emirates,asia,2020,73.77,65100,40,7.16,1.69
Argentina,americas,2020,77.1,17200,42.4,9.4,2.23
Armenia,europe,2020,76.04,10700,32.6,11.74,1.59
Antigua and Barbuda,americas,2020,77.41,25400,40,6.09,2.01
Australia,asia,2020,82.85,46200,32.3,3.5,1.81
Austria,europe,2020,82.11,47800,30.5,3.21,1.54
Azerbaijan,europe,2020,71.18,16500,32.4,20.13,2.01
Burundi,africa,2020,62.58,613,38.6,55.11,5.38
Belgium,europe,2020,81.86,44200,27.7,3.38,1.81
Benin,africa,2020,65.58,2400,47.8,88.76,4.7
Burkina Faso,africa,2020,62.91,1920,35.3,71.52,5.03
Bangladesh,asia,2020,73.94,4670,32.4,27.7,2
Bulgaria,europe,2020,75.24,21700,37.4,6.53,1.62
Bahrain,asia,2020,79.89,42100,40,6.69,1.94
Bahamas,americas,2020,74.23,28600,43.7,9.62,1.74
Bosnia and Herzegovina,europe,2020,77.14,13800,32.7,5.5,1.42
Belarus,europe,2020,74.63,18300,27,3.26,1.73
Belize,americas,2020,74.55,7720,53.3,12.37,2.38
Bolivia,americas,2020,73.6,7480,44.6,25.44,2.73
Brazil,americas,2020,76.14,14800,51.3,13.47,1.67
Barbados,americas,2020,77.45,16900,43.8,11.66,1.8
Brunei,asia,2020,75.76,76900,40,11.05,1.82
Bhutan,asia,2020,75.04,10700,37.4,27.36,1.94
Botswana,africa,2020,70.05,17900,60.5,34.8,2.56
Central African Republic,africa,2020,53.3,841,56.2,110.05,4.57
Canada,americas,2020,82.32,44900,31.1,4.89,1.56
Switzerland,europe,2020,84.41,59300,32.3,3.91,1.56
Chile,americas,2020,80.12,23800,47.7,6.86,1.75
China,asia,2020,77.7,19100,39.1,8.09,1.65
Cote d'Ivoire,africa,2020,63.68,4270,41.5,77.06,4.66
Cameroon,africa,2020,64.18,3520,46.6,72.03,4.44
"Congo, Dem. Rep.",africa,2020,63.35,848,42.1,84.53,5.72
"Congo, Rep.",africa,2020,63.48,5080,48.9,47.48,4.42
Colombia,americas,2020,80.67,14400,50.8,13.48,1.78
Comoros,africa,2020,69.29,2540,45.3,64.85,4.07
Cape Verde,africa,2020,76.39,7440,47.2,18.09,2.2
Costa Rica,americas,2020,80.02,16300,48.7,8.19,1.73
Cuba,americas,2020,78.64,8620,43.4,4.82,1.72
Cyprus,europe,2020,82.19,35700,34,2.22,1.33
Czech Republic,europe,2020,79.63,35900,25.9,3.21,1.6
Germany,europe,2020,81.07,47400,31.7,3.24,1.49
Djibouti,africa,2020,68.98,3830,44.1,52.9,2.62
Denmark,europe,2020,81.11,49500,28.2,3.97,1.77
Dominican Republic,americas,2020,73.65,17800,45.3,27.67,2.31
Algeria,africa,2020,78.31,14000,27.6,22.18,2.54
Ecuador,americas,2020,77.37,10100,45,13.5,2.38
Egypt,africa,2020,71.13,12200,31.8,19.82,3.06
Eritrea,africa,2020,63.76,1450,40,37.75,3.86
Spain,europe,2020,83.46,36600,36.2,2.84,1.42
Estonia,europe,2020,78.63,33800,32.7,2.4,1.69
Ethiopia,africa,2020,69.51,2110,39.1,50.79,3.76
Finland,europe,2020,81.94,43500,27.1,1.58,1.79
Fiji,asia,2020,68.39,10500,36.7,24.8,2.42
France,europe,2020,83.2,40800,32.7,3.83,1.97
"Micronesia, Fed. Sts.",asia,2020,67.59,3280,40.1,29.3,2.97
Gabon,africa,2020,69.28,16900,38,42.36,3.54
United Kingdom,europe,2020,81.23,41100,33.2,4.21,1.87
Georgia,europe,2020,73.33,11800,36.5,9.02,1.96
Ghana,africa,2020,66.41,4710,42.4,44.79,3.76
Guinea,africa,2020,61.98,2580,33.7,94.26,4.55
Gambia,africa,2020,66.78,1660,35.9,55.1,5.14
Guinea-Bissau,africa,2020,60.99,1720,50.7,77.08,4.34
Equatorial Guinea,africa,2020,66.64,16200,40,81.03,4.34
Greece,europe,2020,81.49,26900,36,4.31,1.3
Grenada,americas,2020,74.15,15000,40,15.16,2.02
Guatemala,americas,2020,73.33,7850,48.3,24.26,2.77
Guyana,americas,2020,69.6,8480,43.2,28.68,2.41
Honduras,americas,2020,74.52,4800,50.1,16.64,2.32
Croatia,europe,2020,78.98,26200,31.1,4.45,1.44
Haiti,americas,2020,66,1650,50.9,61.56,2.73
Hungary,europe,2020,77.34,31600,30.4,3.99,1.43
Indonesia,asia,2020,72.1,13100,38.2,23.32,2.26
India,asia,2020,69.69,8100,35.1,33.93,2.24
Ireland,europe,2020,82.46,75700,31.8,3.19,1.97
Iran,asia,2020,77.96,15900,38.8,13.38,1.57
Iraq,asia,2020,77.22,16200,29.5,25.11,4.14
Iceland,europe,2020,83.16,47800,27.8,1.89,1.9
Israel,asia,2020,83.43,34800,41.4,3.45,2.86
Italy,europe,2020,83.64,36400,35.4,2.83,1.52
Jamaica,americas,2020,74.98,8440,45.5,13.79,1.95
Jordan,asia,2020,79.72,8560,33.7,15.29,3.12
Japan,asia,2020,84.66,40400,32.1,2.34,1.51
Kazakhstan,asia,2020,73.07,26600,26.9,8.86,2.51
Kenya,africa,2020,66.94,3360,40.8,38.55,3.63
Kyrgyz Republic,asia,2020,73.12,3610,26.8,17.82,2.82
Cambodia,asia,2020,70.65,4510,42,25.94,2.45
Kiribati,asia,2020,63.11,2070,37,49.51,3.49
South Korea,asia,2020,83.16,38900,31.6,2.91,1.36
Kuwait,asia,2020,83.43,64200,40,7.42,1.94
Lao,asia,2020,68.53,7670,36.4,43.9,2.5
Lebanon,asia,2020,78.14,12300,31.8,7.32,1.7
Liberia,africa,2020,65.55,1110,33.2,67.14,4.32
Libya,africa,2020,73.52,14500,40,11.23,2.13
St. Lucia,americas,2020,75.97,13100,42.6,15.89,1.42
Sri Lanka,asia,2020,77.97,12800,39.8,6.97,1.99
Lesotho,africa,2020,56.61,2970,54.2,75.69,2.91
Lithuania,europe,2020,75.61,34600,37.4,3.86,1.69
Luxembourg,europe,2020,82.11,95800,33.8,2.31,1.61
Latvia,europe,2020,75.54,29000,34.2,3.64,1.6
Morocco,africa,2020,74.64,8220,39.6,20.61,2.35
Moldova,europe,2020,73.19,7250,26.4,14.88,1.23
Madagascar,africa,2020,64.54,1560,42.7,48.71,3.97
Maldives,asia,2020,82.37,15400,38.4,7.87,1.94
Mexico,americas,2020,75.71,18300,45.9,12.33,2.07
Mali,africa,2020,63.27,2180,33,92.36,5.7
Malta,europe,2020,81.45,41300,29.4,6.61,1.5
Myanmar,asia,2020,69.33,6970,38.1,43.64,2.13
Montenegro,europe,2020,76.84,18700,31.9,2.38,1.64
Mongolia,asia,2020,69.49,13600,32.4,15.06,2.59
Mozambique,africa,2020,60.39,1220,54,68.1,4.99
Mauritania,africa,2020,71.25,4170,32.6,72.14,4.43
Mauritius,africa,2020,75.16,23600,35.8,14.75,1.42
Malawi,africa,2020,64.63,1240,45.5,45.07,4.31
Malaysia,asia,2020,75.2,31000,41,7.38,1.97
Namibia,africa,2020,67.57,9720,59.1,36.81,3.19
Niger,africa,2020,63.57,991,34.3,77.7,7
Nigeria,africa,2020,65.63,5300,43,113.6,5.25
Nicaragua,americas,2020,79.47,4480,46.2,17.34,2.09
Netherlands,europe,2020,81.93,51800,28.2,3.53,1.76
Norway,europe,2020,82.74,68200,27.5,2.36,1.83
Nepal,asia,2020,71.83,3150,32.8,29.79,2
New Zealand,asia,2020,82.07,37000,35,5.54,1.95
Oman,asia,2020,77.78,36400,40,10.43,2.4
Pakistan,asia,2020,67.33,5080,33.5,66.63,3.23
Panama,americas,2020,79.83,25100,50.4,14.62,2.41
Peru,americas,2020,81.01,13700,43.8,13.51,2.29
Philippines,asia,2020,70.13,9040,42.2,27.2,2.81
Papua New Guinea,asia,2020,59.15,3970,41.9,45.16,3.47
Poland,europe,2020,78.55,31700,30.8,4.13,1.29
North Korea,asia,2020,72.54,1720,37,16.69,1.87
Portugal,europe,2020,82.02,30300,35.5,3.46,1.24
Paraguay,americas,2020,76.5,12700,47.9,19.44,2.38
Palestine,asia,2020,77.34,4700,33.7,19.42,3.75
Qatar,asia,2020,80.59,119000,40,6.49,1.83
Romania,europe,2020,75.57,27200,28.3,6.87,1.56
Russia,europe,2020,72.68,26700,37.7,6.52,1.77
Rwanda,africa,2020,69.45,2360,45.1,32.03,3.6
Saudi Arabia,asia,2020,77.27,48300,40,6.49,2.38
Sudan,africa,2020,71.01,4580,35.4,57.77,4.29
Senegal,africa,2020,68.89,3740,40.3,40.34,4.49
Singapore,asia,2020,85.29,91400,40.9,2.61,1.27
Solomon Islands,asia,2020,68.99,2180,37.1,19.02,3.64
Sierra Leone,africa,2020,61.73,1540,34,99.03,4.08
El Salvador,americas,2020,74.68,7710,40,12.63,2
Somalia,africa,2020,59.54,636,48,116.52,5.89
Serbia,europe,2020,76.17,18200,34.1,5.16,1.63
South Sudan,africa,2020,60,1980,45,96.28,4.54
Sao Tome and Principe,africa,2020,67.49,3140,30.8,29.29,4.22
Suriname,americas,2020,72.39,14300,61,17.91,2.28
Slovak Republic,europe,2020,77.87,33800,26.5,5.27,1.49
Slovenia,europe,2020,81.56,35600,25.4,2.07,1.66
Sweden,europe,2020,82.93,48000,29,2.53,1.91
Seychelles,africa,2020,73.83,29400,46.8,13.96,2.2
Syria,asia,2020,72.43,2930,35.2,14.78,2.73
Chad,africa,2020,60.92,1830,43.3,114.49,5.55
Togo,africa,2020,65.28,1700,43.1,66.2,4.2
Thailand,asia,2020,78.78,18500,36,8.49,1.43
Tajikistan,asia,2020,70.97,3310,34,32.46,3.18
Turkmenistan,asia,2020,70.47,19400,46.4,44.36,2.7
Timor-Leste,asia,2020,71.53,6090,28.7,42.69,5.06
Tonga,asia,2020,72.09,6310,37.5,14.81,3.48
Trinidad and Tobago,americas,2020,74.63,29400,41.3,17.51,1.71
